# 鳥
U+9CE5	鳥	⿹{hkcs-9ce5-c01}灬
U+2A0E4	𪃤	⿰奊鳥
U+2A0E8	𪃨	⿰幽鳥
U+2A0EA	𪃪	⿰臾鳥
U+2A0EC	𪃬	⿰酋鳥
U+2A0ED	𪃭	⿰客鳥
U+2A0EF	𪃯	⿰昬鳥
U+2A0F7	𪃷	⿰県鳥
U+2A0F8	𪃸	⿰枼鳥
U+2A0FA	𪃺	⿰冓鳥
U+2A0FC	𪃼	⿰息鳥
U+2A0FE	𪃾	⿰容鳥
U+2A0FF	𪃿	⿰哥鳥
U+2A101	𪄁	⿰原鳥
U+2A106	𪄆	⿰𣬉鳥
U+2A109	𪄉	⿰邕鳥
U+2A10C	𪄌	⿰貢鳥
U+2A115	𪄕	⿰班鳥
U+2A11A	𪄚	⿰𦐇鳥
U+2A120	𪄠	⿰涑鳥
U+2A124	𪄤	⿰套鳥
U+2A12D	𪄭	⿰桼鳥
U+2A12E	𪄮	⿰雩鳥
U+2A131	𪄱	⿰啇鳥
U+2A132	𪄲	⿰商鳥
U+2A133	𪄳	⿰麥鳥
U+2A136	𪄶	⿰習鳥
U+2A137	𪄷	⿰䙴鳥
U+2A138	𪄸	⿰責鳥
U+2A13C	𪄼	⿰唯鳥
U+2A13F	𪄿	⿰𦰩鳥
U+2A140	𪅀	⿰堇鳥
U+2A143	𪅃	⿰票鳥
U+2A144	𪅄	⿰率鳥
U+2A146	𪅆	⿰离鳥
U+2A14E	𪅎	⿰舀鳥
U+2A150	𪅐	⿰莫鳥
U+2A156	𪅖	⿰舂鳥
U+2A15D	𪅝	⿰鳥鳥
U+2A160	𪅠	⿰羞鳥
U+2A168	𪅨	⿰移鳥
U+2A16E	𪅮	⿰密鳥
U+2A172	𪅲	⿰翕鳥
U+2A174	𪅴	⿰惡鳥
U+2A178	𪅸	⿰絜鳥
U+2A17A	𪅺	⿰喉鳥
U+2A17E	𪅾	⿰欺鳥
U+2A192	𪆒	⿰雁鳥
U+2A193	𪆓	⿰絲鳥
U+2A199	𪆙	⿰厥鳥
U+2A19A	𪆚	⿰雲鳥
U+2A19B	𪆛	⿰虛鳥
U+2A19C	𪆜	⿰黍鳥
U+2A19E	𪆞	⿰粦鳥
U+2A1A2	𪆢	⿰甯鳥
U+2A1A3	𪆣	⿰景鳥
U+2A1A4	𪆤	⿰黑鳥
U+2A1AF	𪆯	⿰農鳥
U+2A1B0	𪆰	⿰葛鳥
U+2A1B4	𪆴	⿰葵鳥
U+2A1B9	𪆹	⿰過鳥
U+2A1BE	𪆾	⿰𦎫鳥
U+2A1C1	𪇁	⿰當鳥
U+2A1C9	𪇉	⿰雍鳥
U+2A1CE	𪇎	⿰禁鳥
U+2A1D1	𪇑	⿰熏鳥
U+2A1D5	𪇕	⿰賓鳥
U+2A1D6	𪇖	⿰監鳥
U+2A1D8	𪇘	⿰壽鳥
U+2A1E0	𪇠	⿰𡏳鳥
U+2A1E2	𪇢	⿰𥮗鳥
U+2A1F0	𪇰	⿰暴鳥
U+2A1F4	𪇴	⿰蔑鳥
U+2A1F5	𪇵	⿰廣鳥
U+2A202	𪈂	⿰魯鳥
U+2A203	𪈃	⿰𩫏鳥
U+2A204	𪈄	⿰遹鳥
U+2A20D	𪈍	⿰⿱含酉鳥
U+2A216	𪈖	⿰辥鳥
U+2A217	𪈗	⿰龍鳥
U+2A220	𪈠	⿰應鳥
U+2A237	𪈷	⿰𣀦鳥
U+2A2DE	𪋞	⿰鹿鳥
U+2B6BA	𫚺	⿰𠂢鳥
U+2B6CB	𫛋	⿰怠鳥
U+2B6CE	𫛎	⿰笑鳥
U+2B6D5	𫛕	⿰窖鳥
U+2CDDA	𬷚	⿰宏鳥
U+2CDE8	𬷨	⿰辱鳥
U+2D9D8	𭧘	⿰日鳥
U+2EB2D	𮬭	⿰六鳥
U+2EB34	𮬴	⿰因鳥
U+2EB54	𮭔	⿰康鳥
U+31220	𱈠	⿰叫鳥
U+31221	𱈡	⿰卡鳥
U+31225	𱈥	⿰台鳥
U+31244	𱉄	⿰劉鳥

