# 比
U+6BD4	比	⿰匕匕
U+261D8	𦇘	⿰糸麇

# hkcs_m9e8f-p02-s00
U+22E72	𢹲	⿰扌麏

# hkcs_m9e93
U+287E4	𨟤	⿰麓阝

# hkcs_m5875
U+85BC	薼	⿱艹塵

# hkcs_m9e80-p02-s00
U+495D	䥝	⿰金麀
U+243F6	𤏶	⿰火麀
U+252E8	𥋨	⿰目麀

# hkcs_m9e8b
U+862A	蘪	⿱艹麋

# hkcs_m9e8b-p02-s00
U+6517	攗	⿰扌麋
U+22950	𢥐	⿰忄麋
U+237F8	𣟸	⿰木麋
U+240F1	𤃱	⿰氵麋

# hkcs_m9e8b-p02-s10
U+288FF	𨣿	⿰酉麋

# hkcs_m9e95
U+651F	攟	⿰扌麕

# hkcs_m26110
U+21237	𡈷	⿴囗𦄐
U+270E7	𧃧	⿱艹𦄐

# hkcs_m2a2c1
U+2711F	𧄟	⿱艹𪋁

# hkcs_m6176
U+2B46D	𫑭	⿰慶阝

# hkcs_m6176-p02-s00
U+6AE6	櫦	⿰木慶
U+7FBB	羻	⿰羊慶
U+210BB	𡂻	⿰口慶
U+25F5D	𥽝	⿰米慶
U+28BD9	𨯙	⿰金慶
U+2ABBF	𪮿	⿰扌慶
U+2ADF8	𪷸	⿰氵慶

# hkcs_m9e83
U+85E8	藨	⿱艹麃
U+277AF	𧞯	⿱麃衣

# hkcs_m9e83-p02-s00
U+5126	儦	⿰亻麃
U+700C	瀌	⿰氵麃
U+720A	爊	⿰火麃
U+72A5	犥	⿰牛麃
U+76AB	皫	⿰白麃
U+7A6E	穮	⿰禾麃
U+81D5	臕	⿰⺼麃
U+9463	鑣	⿰金麃
U+3A60	㩠	⿰扌麃
U+4BBD	䮽	⿰馬麃
U+21F8C	𡾌	⿰山麃
U+244CF	𤓏	⿰炙麃
U+248C4	𤣄	⿰犭麃
U+2531C	𥌜	⿰目麃

# hkcs_m720a
U+27143	𧅃	⿱艹爊

# Simplifications
U+7EB0	纰	⿰纟比
U+2CB2B	𬬫	⿰钅比
U+311D2	𱇒	⿰鱼比

U+31290	𱊐	⿰皆鸟
U+8C10	谐	⿰讠皆
U+9534	锴	⿰钅皆
U+9636	阶	⿰阝皆

U+9E4D	鹍	⿰昆鸟
U+7EF2	绲	⿰纟昆
U+8F8A	辊	⿰车昆
U+951F	锟	⿰钅昆
U+9984	馄	⿰饣昆
U+2B625	𫘥	⿰马昆
U+9CB2	鲲	⿰鱼昆
U+2CE4B	𬹋	⿺麦昆

U+2B507	𫔇	⿰钅𣬉
U+2A254	𪉔	⿰𣬉鸟

U+9575	镵	⿰钅毚

U+8F98	辘	⿰车鹿
U+2B80B	𫠋	⿰马鹿
U+2CE3E	𬸾	⿸鹿齐

U+30FC1	𰿁	⿰钅麀

U+9573	镳	⿰钅麃
U+2CD0D	𬴍	⿰马麃

# 𣅜
U+2315C	𣅜	皆	⿱比曰
U+257E0	𥟠	稭	⿰禾𣅜

# 𢉖
U+22256	𢉖	鹿	⿸〓厸
U+28767	𨝧	鄜	⿰𢉖阝
U+27433	𧐳	螰	⿰虫𢉖
U+2812D	𨄭	蹗	⿰𧾷𢉖
U+256EA	𥛪	𥛞	⿰示𢉖

# 𫥎
U+2B94E	𫥎	𫥎
U+6400	搀	⿰扌𫥎
U+8C17	谗	⿰讠𫥎
U+998B	馋	⿰饣𫥎
U+202C2	𠋂	⿰亻𫥎
U+2974E	𩝎	⿰飠𫥎
U+30285	𰊅	⿰土𫥎
U+30E24	𰸤	⿰𧾷𫥎
U+30FA0	𰾠	⿰钅𫥎

U+21E8E	𡺎	⿰山𫥎
U+2ADB3	𪶳	⿰氵𫥎
U+260AF	𦂯	⿰糸𫥎
U+29E92	𩺒	⿰魚𫥎

# Variants (⿱⿳𠂊冂人比)
U+5AD3	嫓	媲	⿰女⿱〓比
U+27D00	𧴀	貔	⿰豸⿱〓比
U+235FD	𣗽	㮰	⿰木⿱〓比
U+20892	𠢒	㔡	⿰⿱〓比力
U+2A122	𪄢	𪄆	⿰⿱〓比鳥

# Variants (⿳𠂊⿴囗人比)
U+2180C	𡠌	媲	⿰女⿱〓比

# Variants (⿳冂人比)
U+7B86	箆	篦	⿱竹〓
U+841E	萞	蓖	⿱艹〓
